job_seeker: trumbitta2; similarity_score: 0.99290
job_seeker: EddyShure; similarity_score: 0.99290
job_seeker: white0ut; similarity_score: 0.93332
job_seeker: papes; similarity_score: 0.92105
job_seeker: scool; similarity_score: 0.92104
job_seeker: knoxzin1; similarity_score: 0.90908
job_seeker: HemantPawar; similarity_score: 0.90908
job_seeker: david04; similarity_score: 0.90322
job_seeker: rayalez; similarity_score: 0.90321
job_seeker: phish; similarity_score: 0.89743
job_seeker: sam_rad; similarity_score: 0.89742
job_seeker: it_learnses; similarity_score: 0.89171
job_seeker: enilsen16; similarity_score: 0.89171
job_seeker: colsandurz; similarity_score: 0.89171
job_seeker: csommers; similarity_score: 0.88607
job_seeker: developerbro; similarity_score: 0.88607
job_seeker: idlewan; similarity_score: 0.88606
job_seeker: asow92; similarity_score: 0.88606
job_seeker: pknerd; similarity_score: 0.88049
job_seeker: cpursley; similarity_score: 0.88049
job_seeker: andrey_utkin; similarity_score: 0.87499
job_seeker: notastartup; similarity_score: 0.86955
job_seeker: csbartus; similarity_score: 0.86955
job_seeker: Stamy; similarity_score: 0.86419
job_seeker: pzz; similarity_score: 0.86418
job_seeker: coffee667; similarity_score: 0.85889
job_seeker: alexandregme; similarity_score: 0.85889
job_seeker: albur; similarity_score: 0.85889
job_seeker: shabinesh; similarity_score: 0.85365
job_seeker: spacial; similarity_score: 0.85365
job_seeker: joshrael; similarity_score: 0.84847
job_seeker: ddxv; similarity_score: 0.84337
job_seeker: dmichulke; similarity_score: 0.84337
job_seeker: nogbit; similarity_score: 0.84336
job_seeker: uladzislau; similarity_score: 0.83832
job_seeker: ashkang; similarity_score: 0.83831
job_seeker: Grue3; similarity_score: 0.83332
job_seeker: sfythe; similarity_score: 0.83332
job_seeker: sharmanaetor; similarity_score: 0.82840
job_seeker: thetwopct; similarity_score: 0.82839
job_seeker: siscia; similarity_score: 0.82352
job_seeker: rockoder; similarity_score: 0.81871
job_seeker: mickt; similarity_score: 0.81870
job_seeker: 3zzy; similarity_score: 0.81870
job_seeker: lukeqsee; similarity_score: 0.81394
job_seeker: madarve; similarity_score: 0.81394
job_seeker: dancole; similarity_score: 0.80924
job_seeker: gothy; similarity_score: 0.80924
job_seeker: zplesivcak; similarity_score: 0.80459
job_seeker: chrisbrueck; similarity_score: 0.80458
job_seeker: Widow; similarity_score: 0.79999
job_seeker: rahulroy; similarity_score: 0.79999
job_seeker: krapp; similarity_score: 0.79999
job_seeker: jecjec; similarity_score: 0.79545
job_seeker: dmaffett; similarity_score: 0.79544
job_seeker: hiby007; similarity_score: 0.79095
job_seeker: BrofessorWolf; similarity_score: 0.78651
job_seeker: apsdehal; similarity_score: 0.78651
job_seeker: mateja; similarity_score: 0.78211
